sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,alpha,scaling,clip,lambda_,zeta
600,29.94535469211162,0.964918913410052,29.10344886779785,3.2725086212158203,0.047118452331487926,151.11842346191406,169.76612854003906,True,25,0.8
601,28.171054774095698,0.9445839149433393,118.85843658447266,5.452116012573242,0.048045280826562564,293.32464599609375,279.3117370605469,True,25,0.8
602,-85.65647492173653,0.5402652761899632,9970117509120.0,8102328.5,0.033225298891548044,165.1393280029297,177.83348083496094,True,25,0.8
603,34.70454989756049,0.9677598407517031,2.7145590782165527,2.3184814453125,0.053074687548882574,91.20689392089844,89.61383056640625,True,25,0.8
604,24.612657923587573,0.9079495944657966,49.51604461669922,3.304595947265625,0.0561955806834859,119.32820129394531,121.5152359008789,True,25,0.8
605,24.135126046869523,0.8177156182623759,816.3783569335938,18.03236961364746,0.04474923565509425,572.8247680664062,461.3179931640625,True,25,0.8
606,35.22754180633759,0.9848159667108327,12.849000930786133,2.6241397857666016,0.04752643181321709,187.2003173828125,207.12738037109375,True,25,0.8
607,24.52610701717517,0.9134586886538845,467.25225830078125,5.6074700355529785,0.039582542019108,295.5899353027344,364.90557861328125,True,25,0.8
608,29.77159051309963,0.9163673100065559,267.05108642578125,14.976751327514648,0.03955797275883535,631.2208251953125,503.9138488769531,True,25,0.8
609,-190.3930035236221,0.3406199097971675,5.215343612563735e+24,6349467418624.0,0.027648571175858075,864.2941284179688,690.7044067382812,True,25,0.8
610,19.584265267095184,0.8092596054387514,17.84052276611328,0.2358132302761078,0.07257362050760041,26.70496368408203,40.2728271484375,True,25,0.8
611,31.060146936757093,0.9553396285533658,493.1231384277344,16.668004989624023,0.039054714542674604,828.1228637695312,799.6109619140625,True,25,0.8
612,27.90332721188127,0.9600387963747954,635.7025146484375,7.341460227966309,0.05253207353396319,473.9884338378906,628.2724609375,True,25,0.8
613,-298.5670709011983,0.3797727960735652,4.877361198720509e+33,5.532867065020416e+16,0.024817946287086504,140.49057006835938,82.67727661132812,True,25,0.8
614,-inf,,inf,inf,0.023372506850523615,1390.5596923828125,873.7050170898438,True,25,0.8
615,-38.916802233631756,0.47790975396429203,6468048896.0,248441.015625,0.03471650832008454,1149.56201171875,920.9515380859375,True,25,0.8
616,23.70981326430472,0.914876179793543,15.380101203918457,0.9458080530166626,0.04690883256122602,43.89585876464844,62.01688003540039,True,25,0.8
617,23.789997700377498,0.8859558042411352,319.4373779296875,3.4200007915496826,0.06402370050066075,183.083251953125,277.60076904296875,True,25,0.8
618,19.373996845761752,0.8030053336279379,7298.92529296875,27.981002807617188,0.04064023409794936,562.5477905273438,806.3950805664062,True,25,0.8
619,32.76158752949374,0.9537708779914215,289.5028076171875,11.868973731994629,0.05897284606637637,728.1124877929688,748.5114135742188,True,25,0.8
620,23.124164398820774,0.8547454291975781,167.0040740966797,4.0443644523620605,0.04537328898268972,158.9849853515625,185.3365020751953,True,25,0.8
621,25.882066050639065,0.8875619714925631,106.17601776123047,1.8339604139328003,0.07834433067779419,129.22805786132812,210.1399688720703,True,25,0.8
622,31.70482750897719,0.9757202129092133,92.98820495605469,5.616933822631836,0.05811370997236459,336.3564758300781,371.10162353515625,True,25,0.8
623,26.460143534891344,0.9333661999957111,523.7193603515625,11.415886878967285,0.050656908427204266,459.6392822265625,485.0384521484375,True,25,0.8
624,32.073390778776655,0.9851834973007041,236.20526123046875,18.494251251220703,0.044930539939868806,701.915771484375,618.6365356445312,True,25,0.8
625,25.941568267815263,0.8992046210953295,343.26885986328125,11.88875961303711,0.03174465648896575,475.8399353027344,369.54473876953125,True,25,0.8
626,33.52809521115792,0.9743230678256452,95.10355377197266,5.853312969207764,0.04045628218762911,433.58489990234375,463.0721740722656,True,25,0.8
627,27.40887259223428,0.9492323634409806,1013.3074951171875,3.2119007110595703,0.05418261470749111,577.3458251953125,747.7234497070312,True,25,0.8
628,25.46721374093117,0.8900722778045401,3.22080135345459,1.3211544752120972,0.0446260854084985,44.281280517578125,37.64651870727539,True,25,0.8
629,30.96908068262249,0.9469081893009667,50.42855453491211,3.8957602977752686,0.045125875530053,217.52395629882812,253.18450927734375,True,25,0.8
630,37.589546969358224,0.9587461645835078,88.52005767822266,16.052532196044922,0.039408916173489496,760.9739990234375,713.63623046875,True,25,0.8
631,-19.743590629284814,0.499501514946634,74236128.0,275423.46875,0.03843005999280889,808.5278930664062,895.3116455078125,True,25,0.8
632,31.223265017737983,0.9641456149741469,194.93092346191406,8.2052640914917,0.048869274727560905,435.3731689453125,512.165771484375,True,25,0.8
633,23.714006605645093,0.8957913505320483,1199.6981201171875,9.639813423156738,0.042782314763123934,542.0618896484375,532.5813598632812,True,25,0.8
634,35.39841514657647,0.9907181148866135,3.3573153018951416,2.10276198387146,0.040973175596176144,114.51940155029297,108.0648422241211,True,25,0.8
635,34.556817503399216,0.9846325468414217,70.23210144042969,6.851511478424072,0.053350009574875526,472.0325927734375,447.9649658203125,True,25,0.8
636,-26.414025100005404,0.5396594246693499,124376712.0,51066.234375,0.03412420148954008,514.26318359375,533.0846557617188,True,25,0.8
637,-inf,,inf,inf,0.020354624389459893,378.4268493652344,243.22802734375,True,25,0.8
638,-20.459353029883232,0.23392139894727126,8100751.5,8959.6865234375,0.04079813755762555,273.0469665527344,269.9739990234375,True,25,0.8
639,27.581308881389663,0.9324370215351859,246.38453674316406,8.959676742553711,0.03771931258458822,313.876953125,377.9068908691406,True,25,0.8
640,-160.83879211181937,0.2939329852066701,5.286324912754e+18,2636932352.0,0.03166476932533456,25.497528076171875,21.05112648010254,True,25,0.8
641,21.50749054853856,0.7597629235782521,714.6244506835938,9.279603004455566,0.06752450879132382,234.52906799316406,322.757080078125,True,25,0.8
642,24.57167665053355,0.8908629579117793,154.3502960205078,6.203644275665283,0.042735657627282354,243.91192626953125,212.23655700683594,True,25,0.8
643,29.380615411383452,0.9379321604782582,122.4972915649414,8.76872730255127,0.05496654454978402,318.36187744140625,328.16986083984375,True,25,0.8
644,25.435066149764612,0.8942401267076824,37.644107818603516,1.1119468212127686,0.08960946427815789,65.44762420654297,120.64237213134766,True,25,0.8
645,36.615406258986965,0.9675867725452033,172.8355255126953,15.673166275024414,0.04134110721196289,924.4411010742188,890.6367797851562,True,25,0.8
646,-148.79946609905198,0.4975512520296857,2.6645932464211912e+20,20478535680.0,0.03061297769023642,536.0809326171875,593.9988403320312,True,25,0.8
647,26.02699421190023,0.9181312719365761,1026.6688232421875,22.89242935180664,0.03984938780865706,638.9141235351562,679.4232177734375,True,25,0.8
648,27.561127607576328,0.8298186633600858,921.083251953125,27.878803253173828,0.047122999467440155,740.0182495117188,789.382080078125,True,25,0.8
649,32.33891175946778,0.9659347603303237,145.2210235595703,8.732381820678711,0.05236902026763776,538.1145629882812,498.9437561035156,True,25,0.8
650,26.460538695401603,0.9193810312859753,9.705191612243652,1.1895627975463867,0.08542530001286214,41.37338638305664,87.83336639404297,True,25,0.8
