sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,alpha,scaling,clip,lambda_,lambda_rd,anis_param,zeta
88,24.104093781558888,0.9024759570119366,3057.232177734375,1.7582166194915771,0.3121708369799168,664.2745971679688,887.3255004882812,True,10,0.0001,0.0215443469003188,0.9
89,24.612075828521963,0.9019531419268119,765.064697265625,3.432749032974243,0.3717166997172839,349.5990295410156,472.7427062988281,True,10,0.0001,0.01,0.9
90,36.04034075489879,0.9679794059326282,3.554272174835205,0.47734400629997253,0.1512015083994643,135.6438446044922,120.47465515136719,True,10,0.0001,0.0215443469003188,0.9
91,24.167493393344817,0.9189964668561923,1947.4813232421875,2.9803097248077393,0.4634249952021759,549.2474975585938,713.5315551757812,True,10,0.0001,0.0215443469003188,0.9
92,35.35388096405483,0.9627085036153149,168.70956420898438,4.1945648193359375,0.308173254481855,830.279296875,761.0242919921875,True,10,0.0001,0.0464158883361277,0.9
93,29.401132635409496,0.9377030444603464,361.9757995605469,3.6340537071228027,0.301207725966422,656.6987915039062,561.7159423828125,True,10,0.0001,0.1,0.9
94,30.953201672248483,0.9521249598978228,463.9679260253906,5.4271650314331055,0.2745517129462554,722.5107421875,771.1962280273438,True,10,0.0001,0.01,0.9
95,36.98431962069566,0.9819837171503634,48.82701873779297,1.4249616861343384,0.2436481728166651,456.1485900878906,494.3017883300781,True,10,0.0001,0.0464158883361277,0.9
96,28.11283069362471,0.9243207502383566,422.3709411621094,1.9633339643478394,0.14654055592650428,665.3733520507812,523.2100830078125,True,10,0.0001,0.2154434690031882,0.9
97,33.96557427042859,0.9844866763450536,73.4570541381836,1.7227572202682495,0.4318003096841011,390.1365661621094,428.11346435546875,True,10,0.0001,0.0215443469003188,0.9
98,26.11836271712412,0.9219873429357623,1.6801716089248657,0.2568148672580719,0.323287793954055,23.568683624267578,26.393707275390625,True,10,0.0001,0.0215443469003188,0.9
99,28.388011572576353,0.9256349014612328,17.14275360107422,0.7952653169631958,0.277220228726923,107.30462646484375,108.78353881835938,True,10,0.0001,0.1,0.9
100,36.093826962628974,0.9807994902687546,0.2578645348548889,0.21665708720684052,0.24236901494824614,41.390621185302734,32.39775466918945,True,10,0.0001,0.2154434690031882,0.9
101,28.005352158226174,0.9060758629850313,290.3686828613281,1.722487449645996,0.7532474758428951,223.50709533691406,636.7739868164062,True,10,0.0001,0.0004641588833612,0.9
102,27.416303564732303,0.9232747308771492,152.33941650390625,1.339769959449768,0.3917752884399483,211.07272338867188,315.0416259765625,True,10,0.0001,0.0215443469003188,0.9
103,27.926604650409406,0.9639330027150173,417.6370544433594,3.3258814811706543,0.30176247678997425,488.0210266113281,509.0621337890625,True,10,0.0001,0.0215443469003188,0.9
104,22.623146394187717,0.8594328434541976,4281.03955078125,6.802947044372559,0.24098732704948322,1143.572021484375,907.658935546875,True,10,0.0001,0.0215443469003188,0.9
105,22.827108126775045,0.9075971065902212,324.891845703125,1.3444240093231201,0.47044186128345183,162.17794799804688,250.04293823242188,True,10,0.0001,0.01,0.9
106,27.911456805798053,0.9667398126101961,272.7256164550781,2.2756547927856445,0.3407406599408868,358.8088073730469,410.9725341796875,True,10,0.0001,0.0215443469003188,0.9
107,24.719442480963714,0.9346099454290604,1926.8153076171875,2.563573122024536,0.41903176134402975,626.3121948242188,755.7955932617188,True,10,0.0001,0.0004641588833612,0.9
108,28.64848722205028,0.9017657894346015,71.86788177490234,1.942772626876831,0.16295318775754733,381.6365966796875,229.56936645507812,True,10,0.0001,0.2154434690031882,0.9
109,22.855620857794268,0.8869103325763477,31.412260055541992,0.14662785828113556,0.3179987832086313,51.991607666015625,77.9029312133789,True,10,0.0001,0.01,0.9
110,25.897039600117,0.9488828260224732,216.6845703125,2.548442840576172,0.16814024223412397,387.5992736816406,290.4617004394531,True,10,0.0001,0.1,0.9
111,30.80129060760029,0.9675268423508072,17.200231552124023,0.5211461186408997,0.49632408351900725,119.56587219238281,162.06005859375,True,10,0.0001,0.0021544346900318,0.9
112,25.43146010379884,0.8172788490350017,2448.06201171875,13.510518074035645,0.21330365851037913,1351.975341796875,929.7679443359375,True,10,0.0001,0.0215443469003188,0.9
113,35.59019181849538,0.9696548117019075,180.32431030273438,5.023828983306885,0.2683862696888149,904.5658569335938,808.312255859375,True,10,0.0001,0.1,0.9
114,24.389267463643254,0.8607245053692555,1437.03955078125,6.97278356552124,0.20169307445583146,635.656982421875,633.7703247070312,True,10,0.0001,0.0021544346900318,0.9
115,21.14751764054105,0.8313993651649826,5818.4228515625,13.668864250183105,0.20502485742647633,1153.3548583984375,871.589111328125,True,10,0.0001,0.1,0.9
116,35.21599115151137,0.9613348119176147,193.6863555908203,6.746135234832764,0.2602229562378911,896.2349243164062,803.868408203125,True,10,0.0001,0.0046415888336127,0.9
117,33.011438055443676,0.9648895337408787,17.54918098449707,0.8089228272438049,0.21493637923810768,211.7053680419922,187.38348388671875,True,10,0.0001,0.0464158883361277,0.9
118,29.307106912148633,0.9670417402612412,926.0814819335938,5.970459938049316,0.27541895601995564,838.3818359375,892.6664428710938,True,10,0.0001,0.0215443469003188,0.9
119,34.439046760784905,0.9719780450235087,104.08729553222656,2.1351494789123535,0.2906718628270971,476.9976501464844,539.8029174804688,True,10,0.0001,0.0021544346900318,0.9
120,35.826539032774164,0.9774156044265188,169.75320434570312,10.256388664245605,0.2884405062311362,996.71923828125,807.6326904296875,True,10,0.0001,0.0215443469003188,0.9
121,29.720540883439384,0.9502528084613099,831.6787719726562,4.891151428222656,0.30527030053655907,742.3287353515625,896.1951904296875,True,10,0.0001,0.0046415888336127,0.9
122,33.63605780092626,0.957470426152838,40.28208923339844,1.1505874395370483,0.2263653956538802,327.7705383300781,318.68548583984375,True,10,0.0001,0.1,0.9
123,22.01040984225368,0.8864067317348481,77.37492370605469,0.5118393898010254,0.2357399429485179,105.75764465332031,110.9418716430664,True,10,0.0001,0.2154434690031882,0.9
124,31.540334690736472,0.9776813445537821,36.65899658203125,1.0869640111923218,0.31450902012684234,230.49920654296875,228.7072296142578,True,10,0.0001,0.1,0.9
125,27.513952192280044,0.9629610398067286,322.5335998535156,4.400435924530029,0.294155795262735,422.3275451660156,427.6806945800781,True,10,0.0001,0.0046415888336127,0.9
126,28.903380503175672,0.9269223870417359,810.2583618164062,3.2771189212799072,0.3721185440316776,740.5855102539062,818.19677734375,True,10,0.0001,0.1,0.9
127,27.229981403731387,0.9728075300330841,1386.3499755859375,5.899296760559082,0.2725861098910948,964.2925415039062,860.869873046875,True,10,0.0001,0.0046415888336127,0.9
128,36.69805188150536,0.9759159418759085,0.013401470147073269,0.030243579298257828,0.26908139061548686,7.439523220062256,7.945178508758545,True,10,0.0001,0.01,0.9
129,31.22539107362431,0.944937537421383,179.65147399902344,4.04597282409668,0.24526175388896537,596.3693237304688,511.2365417480469,True,10,0.0001,0.01,0.9
130,30.487810918552377,0.939057031729027,153.05775451660156,2.6675961017608643,0.25145482853191486,461.58819580078125,417.99359130859375,True,10,0.0001,0.001,0.9
