sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,alpha,scaling,clip,lambda_,lambda_rd,anis_param,zeta
100,38.21140961720684,0.968872346230028,0.00015087021165527403,0.00509187625721097,0.07,1.0,1.0,True,100,1e-05,0.0215443469003188,0.9
101,32.08363865938324,0.9555947016888577,0.000279995147138834,0.005104728043079376,0.07,1.0,1.0,True,100,1e-05,0.0002154434690031,0.9
102,30.625419770181527,0.9430615133130145,0.0007331025553867221,0.005974624305963516,0.07,1.0,1.0,True,100,1e-05,0.0001,0.9
103,28.566490615365044,0.9660607984960387,0.001390813267789781,0.009838538244366646,0.07,1.0,1.0,True,100,1e-05,0.0001,0.9
104,29.42859280851428,0.9509834836941632,0.001084324554540217,0.012746171094477177,0.07,1.0,1.0,True,100,1e-05,0.0046415888336127,0.9
105,27.08835568253164,0.9556155601060796,0.0019479815382510424,0.013548346236348152,0.07,1.0,1.0,True,100,1e-05,0.0046415888336127,0.9
106,26.324243590399444,0.9520790589317608,0.0023271352984011173,0.007670361548662186,0.07,1.0,1.0,True,100,1e-05,0.0464158883361277,0.9
107,40.07595834597986,0.9838891237728121,9.826067253015935e-05,0.00425875885412097,0.07,1.0,1.0,True,100,1e-05,0.01,0.9
108,27.414712411434255,0.9365697122026154,0.0018116923747584224,0.025334855541586876,0.07,1.0,1.0,True,100,1e-05,0.01,0.9
109,25.575042456215566,0.9172500726234425,0.0027672562282532454,0.011975103989243507,0.07,1.0,1.0,True,100,1e-05,0.0215443469003188,0.9
110,20.027947678974446,0.851153032250783,0.009921091608703136,0.006599418353289366,0.07,1.0,1.0,True,100,1e-05,0.01,0.9
111,34.81098031792721,0.9788476767247183,0.00026014368631877005,0.0040975939482450485,0.07,1.0,1.0,True,100,1e-05,0.0021544346900318,0.9
112,21.21922863587173,0.805900319949212,0.007469584234058857,0.023166652768850327,0.07,1.0,1.0,True,100,1e-05,0.0004641588833612,0.9
113,40.29533343862059,0.9792468396810309,9.340751421405002e-05,0.0062149097211658955,0.07,1.0,1.0,True,100,1e-05,0.0215443469003188,0.9
114,19.59075617465677,0.7615647614973406,0.010800802148878574,0.010780660435557365,0.07,1.0,1.0,True,100,1e-05,0.0464158883361277,0.9
115,24.196052374300464,0.9114580385348979,0.0037960177287459373,0.020869826897978783,0.07,1.0,1.0,True,100,1e-05,0.01,0.9
116,35.099671912047754,0.9720322269757958,0.00030786552815698087,0.009119699709117413,0.07,1.0,1.0,True,100,1e-05,0.0021544346900318,0.9
117,39.488095727043216,0.9799801365110035,0.0001124937625718303,0.006518818903714418,0.07,1.0,1.0,True,100,1e-05,0.0215443469003188,0.9
118,30.012974733538975,0.9672763791508103,0.0009878340642899275,0.007539527025073767,0.07,1.0,1.0,True,100,1e-05,0.0021544346900318,0.9
119,37.969822760571496,0.9780116754942512,0.00015843445726204664,0.005753758363425732,0.07,1.0,1.0,True,100,1e-05,0.0021544346900318,0.9
120,19.27385433784478,0.8453669969852191,0.011766809038817883,0.008058242499828339,0.07,1.0,1.0,True,100,1e-05,0.01,0.9
121,35.588296430139295,0.9696591351069779,0.0002681482001207769,0.005699929315596819,0.07,1.0,1.0,True,100,1e-05,0.001,0.9
